id,name,year,rating,rank,min_players,max_players,min_gameplay_time,max_gameplay_time,min_age,complexity_weight,category,mechanisms,type,BGG_link,store_names,store_prices,links_to_buy,availability,international_store
1,Sweet Valley High,1988.0,4.8,11444.0,2.0,4.0,30.0,30.0,8.0,1.0,Memory;Novel-based,Memory;Roll / Spin and Move;Set Collection,Admin: Better Description Needed!,,,,,,
2,007 James Bond: You Only Live Twice,1985.0,5.7,,2.0,2.0,20.0,20.0,8.0,1.33,Adventure;Movies / TV / Radio theme;Novel-based,Roll / Spin and Move,007 James Bond Action Episode Games;Characters: James Bond,,,,,,
3,Rock Paper Scissors Inc.,2003.0,5.0,,2.0,2.0,10.0,10.0,6.0,1.5,Bluffing;Economic;Print & Play,Rock-Paper-Scissors;Simultaneous Action Selection;Stock Holding,,,,,,,
4,VisualEyes,2003.0,5.6,8784.0,2.0,8.0,30.0,30.0,8.0,1.41,Dice;Negotiation;Party Game;Puzzle;Real-time;Word Game,Dice Rolling;Paper-and-Pencil;Voting,,,,,,,
5,007 James Bond: Goldfinger,1985.0,6.0,,2.0,2.0,20.0,20.0,8.0,1.5,Adventure;Movies / TV / Radio theme;Novel-based,Area Movement;Roll / Spin and Move,007 James Bond Action Episode Games;Characters: James Bond,,,,,,
6,Assembly Line,2003.0,5.0,,2.0,2.0,20.0,20.0,10.0,1.5,Abstract Strategy;Bluffing;Economic;Print & Play,Rock-Paper-Scissors;Simultaneous Action Selection,,,,,,,
7,Cronberg,2003.0,6.0,4074.0,2.0,4.0,20.0,20.0,8.0,1.91,City Building;Print & Play,Area Enclosure;Tile Placement,Admin: Better Description Needed!,,,,,,
8,Münchhausen,1996.0,5.9,8152.0,3.0,8.0,30.0,30.0,8.0,1.09,Bluffing;Card Game;Fantasy,,,,,,,,
9,Lickin' Lizards,1993.0,5.4,,2.0,4.0,20.0,20.0,5.0,,Action / Dexterity;Animals;Children's Game;Real-time,,Animals: Lizards;Animals: Spiders,,,,,,
10,Slobberin' Sam,1993.0,2.0,,2.0,4.0,20.0,20.0,,,Action / Dexterity;Animals;Children's Game;Electronic,,3D Games;Animals: Dogs,,,,,,
11,The Odd-Ball Scenario,1996.0,5.0,,2.0,6.0,30.0,30.0,,,Expansion for Base-game;Spies/Secret Agents,,,,,,,,
12,Husch Husch kleine Hexe,1994.0,5.5,10275.0,2.0,6.0,15.0,15.0,3.0,1.0,Children's Game;Dice;Fantasy;Memory;Racing,Dice Rolling;Memory;Roll / Spin and Move,Witches,,,,,,
13,Mad Dash!,1991.0,5.4,,2.0,2.0,10.0,10.0,8.0,1.0,Card Game;Educational;Racing,Hand Management;Pattern Building,,,,,,,
14,Batalo,1992.0,6.2,,2.0,2.0,30.0,30.0,6.0,2.0,Abstract Strategy,Area Movement,Tube Games,,,,,,
15,Tilez!,1997.0,4.9,,2.0,4.0,30.0,30.0,6.0,1.5,Abstract Strategy,Tile Placement,Polyominoes,,,,,,
16,Blaster Bots,2003.0,5.5,,2.0,6.0,30.0,30.0,12.0,,Card Game;Fighting;Science Fiction,Dice Rolling,,,,,,,
17,Electronic Dream Phone,1991.0,5.6,10924.0,1.0,4.0,20.0,20.0,9.0,2.33,Children's Game;Deduction;Electronic,Roll / Spin and Move,,,,,,,
18,World Cup in the Void,2003.0,,,2.0,2.0,20.0,20.0,,,Card Game;Sports,Simulation;Variable Player Powers,Sports: Football / Soccer,,,,,,
19,Sabuca,1999.0,6.0,,2.0,6.0,20.0,20.0,10.0,1.33,Card Game;Word Game,Hand Management,,,,,,,
20,Korea: The Forgotten War,2003.0,8.1,1906.0,2.0,2.0,360.0,360.0,16.0,4.21,Korean War;Modern Warfare;Wargame,Dice Rolling;Hex-and-Counter;Simulation,Country: Korea;Operational Combat Series,,,,,,
21,Let's Do Lunch!,2000.0,5.3,10659.0,2.0,2.0,20.0,20.0,12.0,1.14,Abstract Strategy;Dice;Prehistoric,Dice Rolling,,,,,,,
22,Kung Fu Samurai on Giant Robot Island,2003.0,5.8,6690.0,2.0,6.0,30.0,30.0,13.0,1.5,Card Game;Humor;Movies / TV / Radio theme;Science Fiction,,B-Movies;Samurai,,,,,,
23,Grave Robbers II: Skippy's Revenge,2003.0,6.2,4266.0,2.0,6.0,30.0,30.0,13.0,1.28,Card Game;Horror;Humor;Movies / TV / Radio theme;Science Fiction,,Aliens;B-Movies,,,,,,
24,Booty,1995.0,3.9,,2.0,4.0,45.0,45.0,13.0,1.5,Abstract Strategy;Maze;Racing,Dice Rolling;Pick-up and Deliver;Tile Placement,,,,,,,
25,Lights Camera Action,2003.0,7.5,,2.0,2.0,45.0,45.0,,,Movies / TV / Radio theme;Party Game;Trivia,Co-operative Play;Role Playing,,,,,,,
26,Coodju,2001.0,5.1,,4.0,4.0,30.0,30.0,,2.0,Party Game;Word Game,,,,,,,,
27,Radar Search,1969.0,4.6,,2.0,2.0,30.0,30.0,6.0,1.2,Bluffing;Deduction;Electronic;Spies/Secret Agents,Point to Point Movement;Secret Unit Deployment;Variable Player Powers,,,,,,,
28,Stampin',1989.0,4.4,,2.0,4.0,60.0,60.0,,,,Auction/Bidding;Roll / Spin and Move;Set Collection,Post Office Stamps and Mail,,,,,,
29,Glasnost,1989.0,4.4,,2.0,8.0,90.0,90.0,12.0,2.0,Political,,,,,,,,
30,Wall Street Game,1998.0,3.0,,2.0,5.0,60.0,60.0,10.0,,Economic,Roll / Spin and Move;Stock Holding,Admin: Better Description Needed!,,,,,,
