,_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
4809,219825,1002,6779,The Lord of the Rings: The Fellowship of the Ring Board Game,2002.0,Age of Steam,2002.0
4314,199227,4321,1086,The Hammer of Thor: The Game of Norse Mythology,1980.0,Arena of Death,1980.0
3795,175650,97,3354,World War II in the West,2004.0,Defiant Russia 1941 - The War Against Nazi Aggression,2004.0
3884,178839,2731,10256,Wings of War: Famous Aces,2004.0,A Game of Thrones: A Clash of Kings Expansion,2004.0
1809,72052,5183,2028,By Force Of Arms,1994.0,Avalanche - The Invasion of Italy,1994.0
2437,112608,4561,9354,The Wheel of Time Collectible Card Game,2000.0,Empires of the Ancient World,2000.0
1852,73758,876,7538,Rio Grande:  The Battle of Valverde,1991.0,The Great Battles of Alexander,1991.0
201,6950,6528,2690,Ruweisat Ridge: The First Battle of El Alamein,1985.0,Battle of the Bulge (1st Printing),1985.0
3641,169394,6871,6312,Seekrieg (Fourth Edition),1981.0,Harpoon (1990-1991 Edition w/Data Annex),1981.0
2956,137546,5203,6214,Battlecards: World Conflict - Western European Campaign - Starter Set,2001.0,Second World War at Sea: Eastern Fleet,2001.0
4446,206325,2657,1075,Masters of the Universe: War and Conquer Giant Card Games,1983.0,War in the South Atlantic,1983.0
2969,138302,5501,4935,The Game of Life in Monstropolis,2001.0,Red Badge of Courage,2001.0
2812,127834,1811,9267,Battle of the Bands,2001.0,Lord of the Rings: Friends & Foes Expansion,2001.0
3369,158864,3023,2684,The Siege of Leningrad,1976.0,Bay of Pigs,1976.0
416,13425,435,3779,Mission Command Sea,2003.0,Mission Command - Sea Game,2003.0
1681,66863,6560,972,Cortes: Conquest of the Aztec Empire,1993.0,Tide of Fortune,1993.0
3957,183241,3145,6972,War of the Ring (first edition),2004.0,Bitter Woods (1st Edition),2004.0
4614,212417,661,1827,Zulu: Isandhlwana,1979.0,Zulu - Rorke's Drift,1979.0
77,3845,521,9313,Mobile Suit Z Gundam game: Take off MkII,1985.0,Star Trek - The Adventure Game,1985.0
832,34279,2015,1426,Tyrant: Battles of Carthage versus Syracuse,2003.0,Dungeoneer: Vault of the Fiends,2003.0
1184,46161,5888,2197,Ultimate Muscle: The Kinnikuman Legacy Battle Card Game,2003.0,"Suicide Bomber Card Game, The",2003.0
3836,177156,2215,8767,Days of Decision III,2004.0,The Downfall of Pompeii,2004.0
245,8791,57,902,MINDFIELD The Game of US Military Trivia,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
2739,124258,6970,6658,Echelons of Fury,1995.0,Legend of the Five Rings,1995.0
