,_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
2340,103692,416,5910,Monopoly Junior: Deep Sea Adventure,2000.0,Monopoly: The Classic Edition,2000.0
776,30875,1739,1426,Quest for the DragonLords: The Crystal of Power,2003.0,Dungeoneer: Vault of the Fiends,2003.0
4530,208533,6547,3196,Epoch Wargame Electronics #2: Battle of the Bulge,1983.0,Ace of Aces - Flying Machines,1983.0
3745,173635,4082,3421,SongBurst 50's & 60's Edition,1990.0,Balkan Front (Color Box Edition),1990.0
4740,217489,168,7942,Battleship: Star Wars Advanced Mission,2002.0,Star Wars Epic Duels,2002.0
4640,213500,3803,3628,John Carter: Warlord of Mars,1979.0,Napoleon's Art of War - Eylau & Dresden,1979.0
1318,51525,6671,6071,Duel of Ages Set 4: Royal Tournament,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
2379,106864,1817,2750,Secrets of the Pyramids,2000.0,Fall of the West,2000.0
3748,174197,5898,4823,"The ""I Love Lucy"" Game",1990.0,Dirty Minds - The Game of Naughty Clues,1990.0
786,30935,1739,6948,Quest for the DragonLords: The Crystal of Power,2003.0,Killer Bunnies and the Quest for the Magic Carrot VIOLET Booster,2003.0
323,11027,218,3312,The Settlers of Zarahemla,2003.0,Pack of Flies,2003.0
1704,68504,1334,8235,Eagles of the Empire: Borodino,1994.0,Eagles of the Empire: Borodino,1994.0
5007,231304,4103,3005,The Settlers of Canaan,2002.0,Lord of the Rings: The Duel,2002.0
3263,155052,5116,3399,ConTrack: Switzerland & Austria,1998.0,ConTrack Expansion - Switzerland & Austria,1998.0
1490,58433,3356,1714,Goosebumps: A Night in Terror Tower Game,1996.0,"Ball and Chain Game, The",1996.0
187,6710,6238,2690,Ace of Aces: Balloon Buster,1985.0,Battle of the Bulge (1st Printing),1985.0
1268,50798,6616,6505,Pack of Flies,2003.0,The Fall of France,2003.0
4990,229197,3834,6779,Eye of Horus,2002.0,Age of Steam,2002.0
967,37913,2328,6235,European Theater of Operations,2003.0,America Triumphant - Battle of the Bulge,2003.0
3848,177316,2360,3619,Call of Cthulhu: Collectible Card Game,2004.0,Autumn Mist - The Battle of the Bulge (1st Printing),2004.0
2608,120425,3486,3279,The Game of Top Ten Lists,1995.0,Eagles of the Empire: Friedland,1995.0
4006,184699,3321,8408,Battle of the Bands: Encore Edition,2004.0,Trivial Pursuit - 90's Time Capsule Edition,2004.0
5171,237877,4872,9165,Yugioh! Hexors Collectible Battle Tile Game,2002.0,Harry Potter and the Chamber of Secrets - Trivia Game,2002.0
2827,128385,2041,7314,Twilight of the Habsburgs,2001.0,Twilight Armada,2001.0
1094,44855,3520,902,Disney's The Lion King Circle of Life Dominoes,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
5070,233577,4442,3526,The Fall of Castle Bondi,2002.0,Fist of Dragonstones,2002.0
3605,167943,5179,7832,Cosmic Encounter: Expansion Set #7,1981.0,Ark Expansion,1981.0
2732,124149,6905,6578,Stock Car Championship Racing Card Game,1995.0,Formula Motor Racing,1995.0
4502,207945,5633,3196,Voyage of the Dawn Treader,1983.0,Ace of Aces - Flying Machines,1983.0
5444,249072,1700,9935,Adam Games Football,1964.0,Pro Football,1964.0
4411,204449,5778,2623,Hedgerow Hell: ASL Deluxe Module 2,1987.0,Illuminati:  Deluxe Edition,1987.0
1872,74014,1344,8098,The Defense of Rorke's Drift,1991.0,Castle of Magic,1991.0
2520,118019,824,4863,Look at the Schmuck on that Camel,1995.0,Look at the Schmuck on that Camel,1995.0
2486,115001,5789,5910,APBA Major League Baseball: All Star Edition,2000.0,Monopoly: The Classic Edition,2000.0
3329,157745,314,8565,The Battle of Saratoga,1976.0,"Battle of Camden, S.C., The",1976.0
3311,157243,6766,4965,Trivial Pursuit: Know-It-All Edition,1998.0,Falling (2014 Edition),1998.0
3324,157563,31,292,Build Puzzle Town,1976.0,Build Puzzle Town,1976.0
4323,199692,5047,10242,The Love Boat World Cruise Game,1980.0,Dungeons & Dragons Computer Labyrinth Game,1980.0
5107,234550,4552,328,Age of Steam,2002.0,Eagles of the Empire - Napoleon in the Desert,2002.0
5423,248871,3171,8974,Barbie Queen of the Prom Game,1960.0,Ten Commandments Bible Game,1960.0
4669,214702,6146,233,The Longest Day,1979.0,"Longest Day, The",1979.0
226,8536,48,2532,Lord of the Rings Trivia Game,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
2358,104911,1081,9354,The Book of Greek Myths Pop-up Board Games,2000.0,Empires of the Ancient World,2000.0
3565,167206,4362,4754,Tron: Assault on MCP Game,1981.0,"Dukes of Hazzard Game, The",1981.0
2059,80346,3598,7944,Alexander's Generals,1992.0,Alexander's Generals,1992.0
3851,177352,2360,6247,Call of Cthulhu: Collectible Card Game,2004.0,Great Battles of History: Devils Horsemen,2004.0
682,27311,1626,3312,Risk: The Lord of the Rings Trilogy Edition,2003.0,Pack of Flies,2003.0
3925,182058,2965,10256,Maharaja: The Game of Palace Building in India,2004.0,A Game of Thrones: A Clash of Kings Expansion,2004.0
3594,167625,4821,4508,The Guns of August,1981.0,Attack of the Mutants,1981.0
5160,237397,4857,1505,The Settlers of the Stone Age,2002.0,Panzer Grenadier: Battle of the Bulge,2002.0
2973,138334,5501,9267,The Game of Life in Monstropolis,2001.0,Lord of the Rings: Friends & Foes Expansion,2001.0
3883,178837,2731,10169,Wings of War: Famous Aces,2004.0,Maharaja: The Game of Palace Building in India,2004.0
2244,95639,3566,329,Anno Domini: Erfindungen,1999.0,Anno 1452,1999.0
1711,68788,1541,2028,Video Fighter: Dragons of Fury,1994.0,Avalanche - The Invasion of Italy,1994.0
2330,103453,286,42,Teams of Enemies,2000.0,Teams of Enemies,2000.0
498,18910,946,811,The Lord of the Rings: The Two Towers Board Game,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
4493,207750,5500,9533,Torpedo Run Card Game Deluxe Edition,1983.0,Bull Run,1983.0
329,11070,218,8067,The Settlers of Zarahemla,2003.0,The Bridges of Shangri-La,2003.0
1239,49505,6332,6235,The Kids of Catan,2003.0,America Triumphant - Battle of the Bulge,2003.0
3173,148849,1880,6374,Triumphant Return: The Soviet Liberation of Kiev November 1943,1998.0,Victory: The Blocks of War,1998.0
2336,103640,414,4182,Monopoly: Dale Earnhardt,2000.0,Monopoly - The .com Edition,2000.0
4373,202223,1930,3988,Travel Buff,1987.0,Travel Buff,1987.0
3529,166230,2238,6312,Empire (third edition),1981.0,Harpoon (1990-1991 Edition w/Data Annex),1981.0
2375,106717,1748,9354,Lord of the Rings,2000.0,Empires of the Ancient World,2000.0
1658,65511,4278,113,Heroes of Asfar,1993.0,Lords of Creation,1993.0
2181,90080,411,1973,Monopoly: Justice League of America,1999.0,King of the Elves,1999.0
4249,196014,3646,5863,The Arab-Israeli Wars,1977.0,Star Wars - Escape From Death Star,1977.0
611,25372,1504,2532,Battle Cry of Freedom,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
4517,208363,6423,1344,Star Wars: Return of the Jedi - The Play-for-Power Card Games,1983.0,"Iwo Jima: Valor of Arms, 19 Feb. – 25 March 1945",1983.0
2957,137622,5233,6789,Breaking into Valhalla,2001.0,Breaking into Valhalla,2001.0
5111,234566,4552,2524,Age of Steam,2002.0,Clash of the Gladiators,2002.0
5459,249253,1058,2348,Winds Of Plunder,2007.0,Conquest of Paradise,2007.0
