_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
97,207,1682,Sniper! Special Forces: Sniper! Companion Game #2,1988.0,Babble: Board Game,1988.0
105,207,4064,Sniper! Special Forces: Sniper! Companion Game #2,1988.0,Antiques Roadshow - The Game,1988.0
130,244,5464,Win Lose or Draw,1988.0,"Win, Lose or Draw",1988.0
167,270,2114,The Campaigns of Robert E. Lee,1988.0,Ace of Aces - Wingleader,1988.0
173,270,3685,The Campaigns of Robert E. Lee,1988.0,Grand Army of the Republic,1988.0
179,270,8070,The Campaigns of Robert E. Lee,1988.0,Profits of the Airwaves,1988.0
212,340,1682,24 Game,1988.0,Babble: Board Game,1988.0
220,340,4064,24 Game,1988.0,Antiques Roadshow - The Game,1988.0
257,591,1462,AirLand Battle: Corps Operational Command in Europe,1988.0,Buck Rogers - Battle for the 25th Century,1988.0
305,716,2114,The Legend of Zelda,1988.0,Ace of Aces - Wingleader,1988.0
311,716,3685,The Legend of Zelda,1988.0,Grand Army of the Republic,1988.0
317,716,8070,The Legend of Zelda,1988.0,Profits of the Airwaves,1988.0
442,998,1682,ID: The Identity Game,1988.0,Babble: Board Game,1988.0
450,998,4064,ID: The Identity Game,1988.0,Antiques Roadshow - The Game,1988.0
466,1000,2114,Pop of the Form,1988.0,Ace of Aces - Wingleader,1988.0
472,1000,3685,Pop of the Form,1988.0,Grand Army of the Republic,1988.0
478,1000,8070,Pop of the Form,1988.0,Profits of the Airwaves,1988.0
604,1236,2114,The Chronicles of Narnia,1988.0,Ace of Aces - Wingleader,1988.0
610,1236,3685,The Chronicles of Narnia,1988.0,Grand Army of the Republic,1988.0
616,1236,8070,The Chronicles of Narnia,1988.0,Profits of the Airwaves,1988.0
624,1239,1404,Trivial Pursuit: Entertainment Edition,1988.0,Thunder at the Crossroads (2nd Edition),1988.0
742,1854,2114,Pegasus Bridge: The Beginning of D-Day - June 6 1944,1988.0,Ace of Aces - Wingleader,1988.0
748,1854,3685,Pegasus Bridge: The Beginning of D-Day - June 6 1944,1988.0,Grand Army of the Republic,1988.0
754,1854,8070,Pegasus Bridge: The Beginning of D-Day - June 6 1944,1988.0,Profits of the Airwaves,1988.0
