_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
130,244,5464,Win Lose or Draw,1988.0,"Win, Lose or Draw",1988.0
257,591,1462,AirLand Battle: Corps Operational Command in Europe,1988.0,Buck Rogers - Battle for the 25th Century,1988.0
805,1960,541,Vanity Chase,1988.0,Vanity Chase,1988.0
1024,2295,3685,Grand Army of the Republic,1988.0,Grand Army of the Republic,1988.0
2637,5391,5464,Clay To Win,1988.0,"Win, Lose or Draw",1988.0
2994,5971,1462,Buck Rogers: Battle for the 25th Century Game,1988.0,Buck Rogers - Battle for the 25th Century,1988.0
3093,6217,3289,Girl Talk,1988.0,Body Talk,1988.0
3137,6225,2899,The Great Patriotic War,1988.0,"Great Composers, The",1988.0
3147,6225,8722,The Great Patriotic War,1988.0,Great Alaskan Clean-Up,1988.0
3795,481,3813,West Front,1985.0,Arctic Front (1st Printing),1985.0
3868,611,1917,Legal Decision,1985.0,Legal Decision,1985.0
4893,2637,3647,Superpowers at War,1985.0,World War II - European Theater of Operations,1985.0
4933,2833,3647,Forte Trivia Cards Volume II,1985.0,World War II - European Theater of Operations,1985.0
4956,2878,3832,East Wind Rain,1985.0,East Wind Rain,1985.0
5158,3108,5803,All My Children,1985.0,All My Children,1985.0
5190,3258,2690,Main Battle Area,1985.0,Battle of the Bulge (1st Printing),1985.0
5203,3258,8937,Main Battle Area,1985.0,Main Battle Area,1985.0
5455,3722,3813,Russian Front,1985.0,Arctic Front (1st Printing),1985.0
5477,3742,4896,Air Cav,1985.0,Air Cav,1985.0
5494,3774,3720,Advance to Boardwalk,1985.0,Advance to Boardwalk,1985.0
5613,4008,3647,Stage II,1985.0,World War II - European Theater of Operations,1985.0
5631,4092,2865,History of the Second World War,1985.0,World in Flames,1985.0
5633,4092,3647,History of the Second World War,1985.0,World War II - European Theater of Operations,1985.0
5770,4799,2690,Cromwell's Victory: The Battle of Marston Moor,1985.0,Battle of the Bulge (1st Printing),1985.0
5783,4799,8937,Cromwell's Victory: The Battle of Marston Moor,1985.0,Main Battle Area,1985.0
5804,4877,9011,Star Trek III,1985.0,Star Trek: The Enterprise^4 Encounter,1985.0
5805,4877,9313,Star Trek III,1985.0,Star Trek - The Adventure Game,1985.0
5809,4893,2528,Code 777,1985.0,Code 777,1985.0
