id,_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year,label
1607,244412,5847,9490,Von Manstein's Backhand Blow,2002.0,Von Manstein's Backhand Blow,2002.0,1
542,91440,1247,4905,Tannenberg: Eagles in the East / Galicia: The Forgotten Cauldron,1999.0,Eagles Of The Empire: Preussisch-Eylau,1999.0,0
1285,202223,1930,3988,Travel Buff,1987.0,Travel Buff,1987.0,1
1538,234148,4508,3940,Index Pro Football 2002,2002.0,Monopoly - Spider-Man Collector's Edition (2002 Edition),2002.0,0
1190,190282,1801,5204,Bundeswehr:  Nato's Front Line,1986.0,Eastern Front Solitaire (1st Edition),1986.0,0
307,55891,792,2130,Don't Make Me Laugh,1996.0,Give Me the Brain,1996.0,0
891,151760,3460,7891,Crète 1941: Opération Merkur,1998.0,"Barbarossa - Army Group Center, 1941",1998.0,0
699,119814,2678,3690,Mystery of the Abbey,1995.0,Mystery of the Abbey,1995.0,1
215,44210,3395,811,Spongebob Squarepants Card Game,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0,0
1405,212796,1849,3628,The China War,1979.0,Napoleon's Art of War - Eylau & Dresden,1979.0,0
1521,232168,4256,4867,When Darkness Comes,2002.0,When Darkness Comes ... Hell Unleashed,2002.0,0
1519,231862,4190,2103,Access Denied,2002.0,Access Denied,2002.0,1
873,148073,1424,873,Games Kit: 4 Cooperative Pencil & Paper Games,1998.0,Games Kit: 4 Co-operative Pencil & Paper Games,1998.0,1
604,102621,6830,4403,Double Quick,1999.0,Double Quick!,1999.0,1
313,57096,1875,10164,Farm Families,1996.0,Life on the Farm,1996.0,0
1591,241984,5218,7942,The War to End All Wars: Box Set Edition,2002.0,Star Wars Epic Duels,2002.0,0
446,77055,603,6604,Campaigns of the Civil War: Vicksburg and Chancellorsville,1992.0,Confusion: Espionage and Deception in the Cold War,1992.0,0
668,115465,5963,4182,Monopoly: Millennium,2000.0,Monopoly - The .com Edition,2000.0,0
1009,165634,1127,3688,The Fall of France,1981.0,"Fall of South Vietnam, The",1981.0,0
