,ltable_id,rtable_id,id,name,year,rating,rank,num_players,min_num_players,max_num_players,gameplay_time,min_gameplay_time,max_gameplay_time,min_age,complexity_weight,category,mechanisms,type,BGG_link,store_names,store_prices,links_to_buy,availability,international_store
0,244,5464,244,Win Lose or Draw,1988.0,5.2,12089.0,3-8,3.0,8.0,45  Min,45.0,45.0,12.0,1.0,Movies / TV / Radio theme;Party Game,Paper-and-Pencil;Partnerships;Roll / Spin and Move,,http://www.boardgamegeek.com/boardgame/6800,"Noble Knight Games,Noble Knight Games,Amazon.com,","$5.00,$9.50,$24.95,Prices from $ 4.00","http://www.nobleknight.com/ProductDetailSearch.asp_Q_ProductID_E_2147467594_A_InventoryID_E_2147986639_A_ProductLineID_E_0_A_ManufacturerID_E_0_A_CategoryID_E__A_GenreID_E__A_awid_E_713?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=winloseordraw,http://www.nobleknight.com/ProductDetailSearch.asp_Q_ProductID_E_2147467594_A_InventoryID_E_2148060687_A_ProductLineID_E_0_A_ManufacturerID_E_0_A_CategoryID_E__A_GenreID_E__A_awid_E_713?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=winloseordraw,http://www.amazon.com/Milton-Bradley-Game-4710-Lose/dp/B000FIAWSM%3FSubscriptionId%3DAKIAJ4BCA4P5VKV33HTQ%26tag%3Dboardgcom0a-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB000FIAWSM,http://rover.ebay.com/rover/1/711-53200-19255-0/1?icep_ff3=9&pub=5575073539&toolid=10001&campid=5337455777&customid=&icep_uq=Win%2C%20Lose%20or%20Draw&icep_sellerId=&icep_ex_kw=&icep_sortBy=12&icep_catId=2550&icep_minPrice=&icep_maxPrice=&ipn=psmain&icep_vectorid=229466&kwid=902099&mtid=824&kw=lg","In Stock,In Stock,In Stock,In Stock","False,False,False,False"
1,1960,541,1960,Vanity Chase,1988.0,6.2,,2-4,2.0,4.0,45  Min,45.0,45.0,10.0,,Deduction;Humor;Puzzle;Racing;Word Game,Pattern Recognition;Roll / Spin and Move,,http://www.boardgamegeek.com/boardgame/8431,"Noble Knight Games,Amazon.com,","$15.00,$52.96,Prices from $ 12.00","http://www.nobleknight.com/ProductDetailSearch.asp_Q_ProductID_E_2147578406_A_InventoryID_E_2148230352_A_ProductLineID_E_0_A_ManufacturerID_E_0_A_CategoryID_E__A_GenreID_E__A_awid_E_713?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=vanitychase,http://www.amazon.com/Patomike-Inc-Vanity-Chase-Board/dp/B0013KY840%3FSubscriptionId%3DAKIAJ4BCA4P5VKV33HTQ%26tag%3Dboardgcom0a-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0013KY840,http://rover.ebay.com/rover/1/711-53200-19255-0/1?icep_ff3=9&pub=5575073539&toolid=10001&campid=5337455777&customid=&icep_uq=Vanity%20Chase&icep_sellerId=&icep_ex_kw=&icep_sortBy=12&icep_catId=2550&icep_minPrice=&icep_maxPrice=&ipn=psmain&icep_vectorid=229466&kwid=902099&mtid=824&kw=lg","In Stock,In Stock,In Stock","False,False,False"
2,2295,3685,2295,Grand Army of the Republic,1988.0,5.8,9874.0,2-4,2.0,4.0,240  Min,240.0,240.0,10.0,2.88,American Civil War;Wargame,Area Movement;Simulation,,http://www.boardgamegeek.com/boardgame/8753,"Noble Knight Games,Noble Knight Games,Amazon.com,","$10.00,$14.95,$32.97,Prices from $ 43.00","http://www.nobleknight.com/ProductDetailSearch.asp_Q_ProductID_E_7585_A_InventoryID_E_2147567022_A_ProductLineID_E_0_A_ManufacturerID_E_0_A_CategoryID_E__A_GenreID_E__A_awid_E_713?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=grandarmyrepublic,http://www.nobleknight.com/ProductDetailSearch.asp_Q_ProductID_E_7585_A_InventoryID_E_2148407173_A_ProductLineID_E_0_A_ManufacturerID_E_0_A_CategoryID_E__A_GenreID_E__A_awid_E_713?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=grandarmyrepublic,http://www.amazon.com/TFG-Grand-Army-Republic-Board/dp/B00CMBHZCG%3FSubscriptionId%3DAKIAJ4BCA4P5VKV33HTQ%26tag%3Dboardgcom0a-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00CMBHZCG,http://rover.ebay.com/rover/1/711-53200-19255-0/1?icep_ff3=9&pub=5575073539&toolid=10001&campid=5337455777&customid=&icep_uq=Grand%20Army%20of%20the%20Republic&icep_sellerId=&icep_ex_kw=&icep_sortBy=12&icep_catId=2550&icep_minPrice=&icep_maxPrice=&ipn=psmain&icep_vectorid=229466&kwid=902099&mtid=824&kw=lg","In Stock,In Stock,In Stock,In Stock","False,False,False,False"
3,5971,1462,5971,Buck Rogers: Battle for the 25th Century Game,1988.0,6.4,2489.0,2-6,2.0,6.0,120  Min,120.0,120.0,10.0,2.67,Comic Book / Strip;Movies / TV / Radio theme;Science Fiction;Wargame,,Characters: Buck Rogers,http://www.boardgamegeek.com/boardgame/548,"Noble Knight Games,Noble Knight Games,Amazon.com,","$65.00,$97.95,$174.99,Prices from $ 55.00","http://www.nobleknight.com/ProductDetailSearch.asp_Q_ProductID_E_16822_A_InventoryID_E_2148401630_A_ProductLineID_E_0_A_ManufacturerID_E_0_A_CategoryID_E__A_GenreID_E__A_awid_E_713?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=buckrogerbattlefor25thcentury,http://www.nobleknight.com/ProductDetailSearch.asp_Q_ProductID_E_16822_A_InventoryID_E_2148424457_A_ProductLineID_E_0_A_ManufacturerID_E_0_A_CategoryID_E__A_GenreID_E__A_awid_E_713?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=buckrogerbattlefor25thcentury,http://www.amazon.com/Buck-Rogers-Battle-25th-Century/dp/B002G3B1HU%3FSubscriptionId%3DAKIAJ4BCA4P5VKV33HTQ%26tag%3Dboardgcom0a-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB002G3B1HU,http://rover.ebay.com/rover/1/711-53200-19255-0/1?icep_ff3=9&pub=5575073539&toolid=10001&campid=5337455777&customid=&icep_uq=Buck%20Rogers%20-%20Battle%20for%20the%2025th%20Century&icep_sellerId=&icep_ex_kw=&icep_sortBy=12&icep_catId=2550&icep_minPrice=&icep_maxPrice=&ipn=psmain&icep_vectorid=229466&kwid=902099&mtid=824&kw=lg","In Stock,In Stock,In Stock,In Stock","False,False,False,False"
4,611,1917,611,Legal Decision,1985.0,2.8,,3-6,3.0,6.0,90  Min,90.0,90.0,14.0,3.0,Educational,Partnerships;Roll / Spin and Move,,http://www.boardgamegeek.com/boardgame/7146,"Amazon.com,BoardGameCo,","$9.50,$12.99,Prices from $ 19.00","http://www.amazon.com/Legal-Decisions-Limited-First-Edition/dp/B009QRYYB4%3FSubscriptionId%3DAKIAJ4BCA4P5VKV33HTQ%26tag%3Dboardgcom0a-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB009QRYYB4,http://boardgameco.com/product/legal-decision/?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=legaldecision,http://rover.ebay.com/rover/1/711-53200-19255-0/1?icep_ff3=9&pub=5575073539&toolid=10001&campid=5337455777&customid=&icep_uq=Legal%20Decision&icep_sellerId=&icep_ex_kw=&icep_sortBy=12&icep_catId=2550&icep_minPrice=&icep_maxPrice=&ipn=psmain&icep_vectorid=229466&kwid=902099&mtid=824&kw=lg","In Stock,In Stock,In Stock","False,False,False"
5,2878,3832,2878,East Wind Rain,1985.0,4.8,11478.0,2,2.0,2.0,360  Min,360.0,360.0,12.0,3.67,Wargame;World War II,Secret Unit Deployment,,http://www.boardgamegeek.com/boardgame/9357,"Amazon.com,Noble Knight Games,","-,$44.00,Prices from $ 5.00","http://www.amazon.com/WWW-Pacific-1941-45-Board-Edtion/dp/B007CDOCDY%3FSubscriptionId%3DAKIAJ4BCA4P5VKV33HTQ%26tag%3Dboardgcom0a-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB007CDOCDY,http://www.nobleknight.com/ProductDetailSearch.asp_Q_ProductID_E_1651052982_A_InventoryID_E_2148186779_A_ProductLineID_E_0_A_ManufacturerID_E_0_A_CategoryID_E__A_GenreID_E__A_awid_E_713?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=eastwindrain,http://rover.ebay.com/rover/1/711-53200-19255-0/1?icep_ff3=9&pub=5575073539&toolid=10001&campid=5337455777&customid=&icep_uq=East%20Wind%20Rain&icep_sellerId=&icep_ex_kw=&icep_sortBy=12&icep_catId=2550&icep_minPrice=&icep_maxPrice=&ipn=psmain&icep_vectorid=229466&kwid=902099&mtid=824&kw=lg","In Stock,In Stock,In Stock","False,False,False"
6,3108,5803,3108,All My Children,1985.0,4.6,,2-6,2.0,6.0,60  Min,60.0,60.0,12.0,1.0,Bluffing;Card Game;Humor;Movies / TV / Radio theme,Hand Management;Point to Point Movement;Press Your Luck;Role Playing;Roll / Spin and Move;Trick-taking,,http://www.boardgamegeek.com/boardgame/9575,"Noble Knight Games,Amazon.com,","$15.00,$32.99,Prices from $ 8.00","http://www.nobleknight.com/ProductDetailSearch.asp_Q_ProductID_E_51_A_InventoryID_E_2148193209_A_ProductLineID_E_0_A_ManufacturerID_E_0_A_CategoryID_E__A_GenreID_E__A_awid_E_713?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=allmychildren,http://www.amazon.com/All-My-Children-Popular-Daytime/dp/B000IPZV7Y%3FSubscriptionId%3DAKIAJ4BCA4P5VKV33HTQ%26tag%3Dboardgcom0a-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB000IPZV7Y,http://rover.ebay.com/rover/1/711-53200-19255-0/1?icep_ff3=9&pub=5575073539&toolid=10001&campid=5337455777&customid=&icep_uq=All%20My%20Children&icep_sellerId=&icep_ex_kw=&icep_sortBy=12&icep_catId=2550&icep_minPrice=&icep_maxPrice=&ipn=psmain&icep_vectorid=229466&kwid=902099&mtid=824&kw=lg","In Stock,In Stock,In Stock","False,False,False"
7,3258,8937,3258,Main Battle Area,1985.0,5.5,,2,2.0,2.0,240  Min,240.0,240.0,12.0,3.0,Modern Warfare;Wargame,Hex-and-Counter,,http://www.boardgamegeek.com/boardgame/9720,"Amazon.com,Noble Knight Games,Noble Knight Games,","$21.80,$35.00,$38.00,Prices from $ 14.00","http://www.amazon.com/Animal-Crossing-New-Leaf-Nintendo-3DS/dp/B0053BCML6%3Fpsc%3D1%26SubscriptionId%3DAKIAJ4BCA4P5VKV33HTQ%26tag%3Dboardgcom0a-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0053BCML6,http://www.nobleknight.com/ProductDetailSearch.asp_Q_ProductID_E_9903_A_InventoryID_E_2148133464_A_ProductLineID_E_0_A_ManufacturerID_E_0_A_CategoryID_E__A_GenreID_E__A_awid_E_713?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=mainbattlearea,http://www.nobleknight.com/ProductDetailSearch.asp_Q_ProductID_E_9903_A_InventoryID_E_2147856676_A_ProductLineID_E_0_A_ManufacturerID_E_0_A_CategoryID_E__A_GenreID_E__A_awid_E_713?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=mainbattlearea,http://rover.ebay.com/rover/1/711-53200-19255-0/1?icep_ff3=9&pub=5575073539&toolid=10001&campid=5337455777&customid=&icep_uq=Main%20Battle%20Area&icep_sellerId=&icep_ex_kw=&icep_sortBy=12&icep_catId=2550&icep_minPrice=&icep_maxPrice=&ipn=psmain&icep_vectorid=229466&kwid=902099&mtid=824&kw=lg","In Stock,In Stock,In Stock,In Stock","False,False,False,False"
8,3742,4896,3742,Air Cav,1985.0,5.9,7699.0,2,2.0,2.0,90  Min,90.0,90.0,12.0,2.83,Aviation / Flight;Modern Warfare;Wargame,Hex-and-Counter,,http://www.boardgamegeek.com/boardgame/3309,"Amazon.com,Noble Knight Games,Noble Knight Games,","-,$8.00,$15.00,Prices from $ 3.00","http://www.amazon.com/Helicopter-Warfare-Eighties-Bookshelf-Boardgame/dp/B0064E2J6O%3FSubscriptionId%3DAKIAJ4BCA4P5VKV33HTQ%26tag%3Dboardgcom0a-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0064E2J6O,http://www.nobleknight.com/ProductDetailSearch.asp_Q_ProductID_E_7646_A_InventoryID_E_2147899748_A_ProductLineID_E_0_A_ManufacturerID_E_0_A_CategoryID_E__A_GenreID_E__A_awid_E_713?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=aircav,http://www.nobleknight.com/ProductDetailSearch.asp_Q_ProductID_E_7646_A_InventoryID_E_2148423792_A_ProductLineID_E_0_A_ManufacturerID_E_0_A_CategoryID_E__A_GenreID_E__A_awid_E_713?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=aircav,http://rover.ebay.com/rover/1/711-53200-19255-0/1?icep_ff3=9&pub=5575073539&toolid=10001&campid=5337455777&customid=&icep_uq=Air%20Cav&icep_sellerId=&icep_ex_kw=&icep_sortBy=12&icep_catId=2550&icep_minPrice=&icep_maxPrice=&ipn=psmain&icep_vectorid=229466&kwid=902099&mtid=824&kw=lg","In Stock,In Stock,In Stock,In Stock","False,False,False,False"
9,3774,3720,3774,Advance to Boardwalk,1985.0,5.3,12212.0,2-4,2.0,4.0,60  Min,60.0,60.0,8.0,1.56,Economic,Area Control / Area Influence;Dice Rolling;Hand Management;Take That,Monopoly,http://www.boardgamegeek.com/boardgame/334,"Noble Knight Games,Amazon.com,","$5.00,$33.52,Prices from $ 4.00","http://www.nobleknight.com/ProductDetailSearch.asp_Q_ProductID_E_2147388012_A_InventoryID_E_2147599875_A_ProductLineID_E_0_A_ManufacturerID_E_0_A_CategoryID_E__A_GenreID_E__A_awid_E_713?utm_source=boardgameprices.com&utm_medium=price-search&utm_term=advanceboardwalk,http://www.amazon.com/Advance-Boardwalk-Parker-Brothers-Board/dp/B000F80QOM%3FSubscriptionId%3DAKIAJ4BCA4P5VKV33HTQ%26tag%3Dboardgcom0a-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB000F80QOM,http://rover.ebay.com/rover/1/711-53200-19255-0/1?icep_ff3=9&pub=5575073539&toolid=10001&campid=5337455777&customid=&icep_uq=Advance%20to%20Boardwalk&icep_sellerId=&icep_ex_kw=&icep_sortBy=12&icep_catId=2550&icep_minPrice=&icep_maxPrice=&ipn=psmain&icep_vectorid=229466&kwid=902099&mtid=824&kw=lg","In Stock,In Stock,In Stock","False,False,False"
